dog_name,session,table,trial,condition,recoding_FL,original_code
Kala2,1,1,1,absent,L,L
Kala2,1,1,2,looking_away,L,L
Kala2,1,1,3,looking_away,L,L
Kala2,1,1,4,present,R,R
Kala2,1,1,5,present,L,L
Kala2,1,1,6,back_turned,L,L
Kala2,1,1,7,looking_away,R,R
Kala2,1,1,8,back_turned,L,L
Kala2,1,1,9,back_turned,R,R
Kala2,1,1,10,absent,R,R
Kala2,1,1,11,looking_away,L,L
Kala2,1,1,12,absent,L,L
Kala2,1,1,13,present,L,L
Kala2,1,1,14,absent,L,L
Kala2,1,1,15,back_turned,R,R
Kala2,1,1,16,present,L,L
Kala2,1,1,17,present,R,R
Kala2,1,1,18,looking_away,L,L
Kala2,1,1,19,absent,L,L
Kala2,1,1,20,present,L,L
Kala2,1,1,21,back_turned,R,R
Kala2,1,1,22,absent,L,L
Kala2,1,1,23,back_turned,L,L
Kala2,1,1,24,looking_away,L,L
Blue6,1,5,1,back_turned,L,L
Blue6,1,5,2,looking_away,L,L
Blue6,1,5,3,looking_away,R,R
Blue6,1,5,4,back_turned,R,R
Blue6,1,5,5,looking_away,L,L
Blue6,1,5,6,absent,L,L
Blue6,1,5,7,present,L,L
Blue6,1,5,8,absent,L,L
Blue6,1,5,9,absent,L,L
Blue6,1,5,10,present,L,L
Blue6,1,5,11,looking_away,L,L
Blue6,1,5,12,back_turned,L,L
Blue6,1,5,13,back_turned,L,L
Blue6,1,5,14,present,L,L
Blue6,1,5,15,present,L,L
Blue6,1,5,16,looking_away,L,L
Blue6,1,5,17,absent,L,L
Blue6,1,5,18,back_turned,L,L
Blue6,1,5,19,absent,L,L
Blue6,1,5,20,looking_away,L,L
Blue6,1,5,21,absent,L,L
Blue6,1,5,22,back_turned,L,L
Blue6,1,5,23,present,L,L
Blue6,1,5,24,present,L,L
Betty3,1,6,1,looking_away,L,L
Betty3,1,6,2,back_turned,R,R
Betty3,1,6,3,back_turned,L,L
Betty3,1,6,4,looking_away,L,L
Betty3,1,6,5,absent,L,L
Betty3,1,6,6,absent,L,L
Betty3,1,6,7,back_turned,L,L
Betty3,1,6,8,absent,L,L
Betty3,1,6,9,present,L,L
Betty3,1,6,10,absent,L,L
Betty3,1,6,11,back_turned,L,L
Betty3,1,6,12,back_turned,L,L
Betty3,1,6,13,absent,L,L
Betty3,1,6,14,present,L,L
Betty3,1,6,15,back_turned,L,L
Betty3,1,6,16,looking_away,L,L
Betty3,1,6,17,present,L,L
Betty3,1,6,18,absent,R,R
Betty3,1,6,19,present,L,L
Betty3,1,6,20,looking_away,L,L
Betty3,1,6,21,present,L,L
Betty3,1,6,22,looking_away,L,L
Betty3,1,6,23,present,L,L
Betty3,1,6,24,looking_away,L,L
Nuala2,1,5,1,back_turned,R,R
Nuala2,1,5,2,looking_away,R,R
Nuala2,1,5,3,looking_away,L,L
Nuala2,1,5,4,back_turned,R,R
Nuala2,1,5,5,looking_away,L,L
Nuala2,1,5,6,absent,R,R
Nuala2,1,5,7,present,R,R
Nuala2,1,5,8,absent,R,R
Nuala2,1,5,9,absent,L,L
Nuala2,1,5,10,present,R,R
Nuala2,1,5,11,looking_away,R,R
Nuala2,1,5,12,back_turned,R,R
Nuala2,1,5,13,back_turned,L,L
Nuala2,1,5,14,present,R,R
Nuala2,1,5,15,present,R,R
Nuala2,1,5,16,looking_away,L,L
Nuala2,1,5,17,absent,R,R
Nuala2,1,5,18,back_turned,R,R
Nuala2,1,5,19,absent,L,L
Nuala2,1,5,20,looking_away,R,R
Nuala2,1,5,21,absent,R,R
Nuala2,1,5,22,back_turned,L,L
Nuala2,1,5,23,present,R,R
Nuala2,1,5,24,present,R,R
Chilli7,1,4,1,back_turned,R,R
Chilli7,1,4,2,back_turned,R,R
Chilli7,1,4,3,absent,L,L
Chilli7,1,4,4,absent,L,L
Chilli7,1,4,5,present,R,R
Chilli7,1,4,6,present,R,R
Chilli7,1,4,7,looking_away,L,L
Chilli7,1,4,8,back_turned,L,L
Chilli7,1,4,9,present,R,R
Chilli7,1,4,10,present,R,R
Chilli7,1,4,11,absent,R,R
Chilli7,1,4,12,looking_away,R,R
Chilli7,1,4,13,absent,R,R
Chilli7,1,4,14,present,R,R
Chilli7,1,4,15,looking_away,R,R
Chilli7,1,4,16,looking_away,L,L
Chilli7,1,4,17,absent,L,L
Chilli7,1,4,18,back_turned,R,R
Chilli7,1,4,19,absent,L,L
Chilli7,1,4,20,looking_away,L,L
Chilli7,1,4,21,looking_away,L,L
Chilli7,1,4,22,present,R,R
Chilli7,1,4,23,back_turned,R,R
Chilli7,1,4,24,back_turned,L,L
Bo,1,5,1,back_turned,R,R
Bo,1,5,2,looking_away,R,R
Bo,1,5,3,looking_away,R,R
Bo,1,5,4,back_turned,R,R
Bo,1,5,5,looking_away,L,L
Bo,1,5,6,absent,L,L
Bo,1,5,7,present,R,R
Bo,1,5,8,absent,L,L
Bo,1,5,9,absent,R,R
Bo,1,5,10,present,L,L
Bo,1,5,11,looking_away,L,L
Bo,1,5,12,back_turned,R,R
Bo,1,5,13,back_turned,L,L
Bo,1,5,14,present,R,R
Bo,1,5,15,present,L,L
Bo,1,5,16,looking_away,R,R
Bo,1,5,17,absent,R,R
Bo,1,5,18,back_turned,R,R
Bo,1,5,19,absent,R,R
Bo,1,5,20,looking_away,L,L
Bo,1,5,21,absent,R,R
Bo,1,5,22,back_turned,R,R
Bo,1,5,23,present,R,R
Bo,1,5,24,present,R,R
Satchmo,1,5,1,back_turned,L,L
Satchmo,1,5,2,looking_away,L,L
Satchmo,1,5,3,looking_away,R,R
Satchmo,1,5,4,back_turned,R,R
Satchmo,1,5,5,looking_away,R,R
Satchmo,1,5,6,absent,L,L
Satchmo,1,5,7,present,L,L
Satchmo,1,5,8,absent,R,R
Satchmo,1,5,9,absent,R,R
Satchmo,1,5,10,present,R,R
Satchmo,1,5,11,looking_away,L,L
Satchmo,1,5,12,back_turned,R,R
Satchmo,1,5,13,back_turned,L,L
Satchmo,1,5,14,present,L,L
Satchmo,1,5,15,present,R,R
Satchmo,1,5,16,looking_away,L,L
Satchmo,1,5,17,absent,R,R
Satchmo,1,5,18,back_turned,L,L
Satchmo,1,5,19,absent,R,R
Satchmo,1,5,20,looking_away,R,R
Satchmo,1,5,21,absent,R,R
Satchmo,1,5,22,back_turned,R,R
Satchmo,1,5,23,present,R,R
Satchmo,1,5,24,present,L,L
Fini2,1,12,1,back_turned,L,L
Fini2,1,12,2,present,R,R
Fini2,1,12,3,present,L,L
Fini2,1,12,4,absent,R,R
Fini2,1,12,5,present,R,R
Fini2,1,12,6,back_turned,L,L
Fini2,1,12,7,absent,L,L
